Format Version,1.22,Take Name,Take 2022-05-25 02.04.15 PM_002,Capture Frame Rate,120.000000,Export Frame Rate,60.000000,Capture Start Time,2022-05-25 05.22.38.302 PM,Total Frames in Take,2969,Total Exported Frames,1485,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,camera,camera,camera,camera,camera,camera,camera,camera,"camera:Marker1","camera:Marker1","camera:Marker1","camera:Marker1","camera:Marker2","camera:Marker2","camera:Marker2","camera:Marker2","camera:Marker3","camera:Marker3","camera:Marker3","camera:Marker3","camera:Marker4","camera:Marker4","camera:Marker4","camera:Marker4",camera:Marker1,camera:Marker1,camera:Marker1,camera:Marker2,camera:Marker2,camera:Marker2,camera:Marker3,camera:Marker3,camera:Marker3,camera:Marker4,camera:Marker4,camera:Marker4,Unlabeled 1370,Unlabeled 1370,Unlabeled 1370,Unlabeled 1374,Unlabeled 1374,Unlabeled 1374,Unlabeled 1378,Unlabeled 1378,Unlabeled 1378,Unlabeled 1383,Unlabeled 1383,Unlabeled 1383,Unlabeled 1384,Unlabeled 1384,Unlabeled 1384,Unlabeled 1387,Unlabeled 1387,Unlabeled 1387,Unlabeled 1396,Unlabeled 1396,Unlabeled 1396,Unlabeled 1402,Unlabeled 1402,Unlabeled 1402,Unlabeled 1406,Unlabeled 1406,Unlabeled 1406
,,"5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","5577E4BDC6D11EC345CE7B9724C84A2","FCED0","FCED0","FCED0","FCE10","FCE10","FCE10","FCDF0","FCDF0","FCDF0","FCF40","FCF40","FCF40","FCE00","FCE00","FCE00","FCF90","FCF90","FCF90","FCAD0","FCAD0","FCAD0","FD000","FD000","FD000","FD010","FD010","FD010","FCFA0","FCFA0","FCFA0","FD020","FD020","FD020","FD080","FD080","FD080","FD090","FD090","FD090"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.081210,0.044852,-0.006575,-0.995666,0.017977,1.274316,0.141540,0.000490,0.052210,1.270776,0.104325,0.916358,-0.019908,1.278967,0.191377,0.958606,0.050334,1.278999,0.168998,0.954441,-0.010730,1.268521,0.101462,0.854883,0.052784,1.270327,0.104414,-0.019828,1.278636,0.191031,0.050469,1.279416,0.169105,-0.011587,1.268907,0.101634,-0.171536,1.118030,-1.395144,,,,,,,,,,,,,,,,,,,,,,,,
1,0.016667,0.082354,0.044781,-0.007063,-0.995572,0.017957,1.274617,0.141370,0.000440,0.052186,1.271020,0.104157,0.912517,-0.019922,1.279353,0.191203,0.948148,0.050316,1.279393,0.168810,0.950094,-0.010752,1.268704,0.101311,0.852771,0.052786,1.270540,0.104278,-0.019867,1.278997,0.190888,0.050414,1.279823,0.168820,-0.011565,1.269128,0.101521,-0.171114,1.117740,-1.395053,,,,,,,,,,,,,,,,,,,,,,,,
2,0.033333,0.084594,0.043790,-0.008341,-0.995418,0.018008,1.274931,0.141177,0.000533,0.052165,1.271236,0.103907,0.923803,-0.019775,1.279814,0.191069,0.950398,0.050415,1.279903,0.168525,0.970730,-0.010774,1.268770,0.101207,0.867518,0.052784,1.270894,0.104027,-0.019831,1.279527,0.190708,0.050693,1.280234,0.168550,-0.011698,1.269088,0.101454,-0.171056,1.117731,-1.395044,,,,,,,,,,,,,,,,,,,,,,,,
3,0.050000,0.086211,0.042457,-0.007430,-0.995344,0.018212,1.275322,0.140940,0.000584,0.052270,1.271434,0.103599,0.906971,-0.019436,1.280445,0.190909,0.942471,0.050698,1.280310,0.168193,0.959875,-0.010681,1.269097,0.101061,0.837010,0.052863,1.271159,0.103886,-0.019272,1.280189,0.190468,0.050798,1.280584,0.168187,-0.011599,1.269361,0.101250,-0.171101,1.117737,-1.395078,,,,,,,,,,,,,,,,,,,,,,,,
4,0.066667,0.087264,0.042612,-0.007180,-0.995248,0.018304,1.275596,0.140826,0.000580,0.052373,1.271611,0.103505,0.896684,-0.019361,1.280845,0.190770,0.929567,0.050782,1.280623,0.168080,0.952136,-0.010578,1.269304,0.100949,0.848103,0.052951,1.271362,0.103769,-0.019202,1.280601,0.190307,0.050890,1.280876,0.168090,-0.011484,1.269551,0.101166,-0.171592,1.118029,-1.395159,,,,,,,,,,,,,,,,,,,,,,,,
5,0.083333,0.083433,0.044202,-0.001578,-0.995531,0.018696,1.276087,0.140773,0.000337,0.052874,1.272047,0.103558,0.952891,-0.019116,1.281326,0.190606,0.937746,0.051113,1.280548,0.168198,0.976167,-0.010087,1.270426,0.100730,0.916359,0.053132,1.271461,0.103705,-0.019083,1.280865,0.190268,0.051100,1.281068,0.168038,-0.010375,1.270952,0.101095,-0.171557,1.118051,-1.395156,,,,,,,,,,,,,,,,,,,,,,,,
