Frame,Time_Seconds,camera_Rotation_X,camera_Rotation_Y,camera_Rotation_Z,camera_Rotation_W,camera_Position_X,camera_Position_Y,camera_Position_Z
0,0.000000,0.081210,0.044852,-0.006575,-0.995666,0.017977,1.274316,0.141540
1,0.016667,0.082354,0.044781,-0.007063,-0.995572,0.017957,1.274617,0.141370
2,0.033333,0.084594,0.043790,-0.008341,-0.995418,0.018008,1.274931,0.141177
3,0.050000,0.086211,0.042457,-0.007430,-0.995344,0.018212,1.275322,0.140940
4,0.066667,0.087264,0.042612,-0.007180,-0.995248,0.018304,1.275596,0.140826
5,0.083333,0.083433,0.044202,-0.001578,-0.995531,0.018696,1.276087,0.140773
6,0.100000,0.085193,0.043668,-0.003635,-0.995400,0.018794,1.276047,0.140740
7,0.116667,0.084988,0.043539,-0.003502,-0.995424,0.018915,1.276086,0.140754
8,0.133333,0.085168,0.043435,-0.003521,-0.995413,0.019001,1.276059,0.140763
9,0.150000,0.082655,0.043527,-0.000954,-0.995627,0.019186,1.276126,0.140837
10,0.166667,0.084054,0.042872,-0.003774,-0.995531,0.019270,1.275882,0.140769
11,0.183333,0.083778,0.042723,-0.003579,-0.995562,0.019364,1.275802,0.140754
12,0.200000,0.086216,0.041597,-0.006725,-0.995385,0.019325,1.275513,0.140776
13,0.216667,0.085766,0.041652,-0.006612,-0.995422,0.019393,1.275470,0.140733
14,0.233333,0.085483,0.041608,-0.006264,-0.995451,0.019434,1.275419,0.140682
15,0.250000,0.085467,0.041823,-0.006305,-0.995443,0.019424,1.275344,0.140694
16,0.266667,0.084522,0.041209,-0.006712,-0.995546,0.019489,1.275235,0.140693
17,0.283333,0.082492,0.041484,-0.004967,-0.995716,0.019545,1.275284,0.140679
18,0.300000,0.082534,0.041800,-0.004832,-0.995700,0.019504,1.275210,0.140688
19,0.316667,0.082788,0.041725,-0.004808,-0.995682,0.019505,1.275145,0.140677
20,0.333333,0.081082,0.044274,-0.003301,-0.995718,0.019836,1.275151,0.140462
21,0.350000,0.080832,0.044198,-0.003216,-0.995742,0.019828,1.275089,0.140463
22,0.366667,0.081091,0.044223,-0.003262,-0.995720,0.019858,1.275034,0.140437
23,0.383333,0.080385,0.044711,-0.003044,-0.995756,0.019905,1.274974,0.140513
24,0.400000,0.079272,0.044193,-0.004758,-0.995862,0.019940,1.275006,0.140459
25,0.416667,0.080508,0.044462,-0.003253,-0.995757,0.020011,1.274783,0.140483
26,0.433333,0.079821,0.044441,-0.002918,-0.995814,0.020086,1.274701,0.140486
27,0.450000,0.078619,0.044555,-0.003829,-0.995901,0.020183,1.274704,0.140547
28,0.466667,0.078813,0.044543,-0.003866,-0.995886,0.020267,1.274617,0.140565
29,0.483333,0.077550,0.044005,-0.002712,-0.996013,0.020342,1.274566,0.140639
30,0.500000,0.076668,0.042526,-0.001897,-0.996148,0.020651,1.274379,0.140529
31,0.516667,0.076923,0.043457,-0.002703,-0.996086,0.020617,1.274370,0.140676
32,0.533333,0.076568,0.042252,-0.002041,-0.996167,0.020761,1.274275,0.140605
33,0.550000,0.076446,0.041754,-0.002394,-0.996196,0.020890,1.274200,0.140643
34,0.566667,0.076324,0.041498,-0.002441,-0.996216,0.020980,1.274149,0.140725
35,0.583333,0.075818,0.040936,-0.002672,-0.996277,0.021084,1.274038,0.140830
36,0.600000,0.076751,0.039438,-0.001167,-0.996269,0.021122,1.273833,0.140815
37,0.616667,0.074568,0.041742,-0.003154,-0.996337,0.021479,1.273872,0.140886
38,0.633333,0.075143,0.041763,-0.002718,-0.996294,0.021528,1.273853,0.141025
39,0.650000,0.076987,0.039101,-0.000780,-0.996265,0.021389,1.273699,0.141186
40,0.666667,0.076535,0.039296,-0.000879,-0.996292,0.021489,1.273625,0.141343
41,0.683333,0.074456,0.041660,-0.002768,-0.996350,0.021738,1.273749,0.141490
42,0.700000,0.075550,0.039720,-0.001755,-0.996349,0.021693,1.273696,0.141695
43,0.716667,0.077477,0.036675,-0.002559,-0.996316,0.021474,1.273513,0.141926
44,0.733333,0.076284,0.040437,-0.003295,-0.996260,0.021782,1.273548,0.141907
45,0.750000,0.076301,0.037246,-0.003461,-0.996383,0.021511,1.273560,0.142380
46,0.766667,0.076030,0.037167,-0.003370,-0.996407,0.021529,1.273547,0.142526
47,0.783333,0.075439,0.037115,-0.002945,-0.996455,0.021573,1.273538,0.142706
48,0.800000,0.076049,0.037862,-0.004125,-0.996376,0.021638,1.273514,0.142683
49,0.816667,0.075250,0.039220,-0.005116,-0.996380,0.021695,1.273602,0.142963
50,0.833333,0.076144,0.038838,-0.003672,-0.996333,0.021690,1.273458,0.143092
51,0.850000,0.075836,0.038376,-0.003135,-0.996377,0.021766,1.273400,0.143319
52,0.866667,0.075399,0.038760,-0.003862,-0.996392,0.021779,1.273400,0.143515
53,0.883333,0.075856,0.038422,-0.003303,-0.996373,0.021781,1.273264,0.143641
54,0.900000,0.075344,0.039032,-0.002971,-0.996389,0.021795,1.273173,0.143951
55,0.916667,0.075443,0.037941,-0.003939,-0.996420,0.021668,1.273027,0.144260
56,0.933333,0.075340,0.037771,-0.003996,-0.996434,0.021665,1.272924,0.144501
57,0.950000,0.072753,0.036326,-0.001860,-0.996687,0.021558,1.272922,0.144935
58,0.966667,0.072557,0.036218,-0.001440,-0.996705,0.021582,1.272828,0.145172
