,timestamp,camera_Rotation_X,camera_Rotation_Y,camera_Rotation_Z,camera_Rotation_W,camera_Position_X,camera_Position_Y,camera_Position_Z,converted_op_timestamp,synced_op_time_delta,Frame
0,33.766667,0.037597,0.670028,-0.022306,-0.741047,0.336035,0.475084,-0.700462,2022-06-06 15:20:12.836667,0.013256999999995855,147
5,33.850000,0.038226,0.672281,-0.022987,-0.738951,0.335646,0.475732,-0.700018,2022-06-06 15:20:12.920000,0.09658999999999907,148
10,33.933333,0.038883,0.671160,-0.022629,-0.739946,0.334679,0.476529,-0.699362,2022-06-06 15:20:13.003333,0.17992299999999517,149
18,34.066667,0.040312,0.670900,-0.023456,-0.740080,0.333837,0.477306,-0.698666,2022-06-06 15:20:13.136667,0.3132570000000001,150
24,34.166667,0.040255,0.669503,-0.021983,-0.741392,0.333093,0.477561,-0.697926,2022-06-06 15:20:13.236667,0.41325699999999443,151
31,34.283333,0.041777,0.671295,-0.021271,-0.739707,0.333661,0.477776,-0.696852,2022-06-06 15:20:13.353333,0.5299229999999966,152
37,34.383333,0.040483,0.670159,-0.021653,-0.740796,0.334235,0.477702,-0.696019,2022-06-06 15:20:13.453333,0.629922999999998,153
44,34.500000,0.040144,0.672516,-0.023090,-0.738632,0.335574,0.477588,-0.695648,2022-06-06 15:20:13.570000,0.7465899999999976,154
51,34.616667,0.041713,0.672756,-0.025265,-0.738255,0.336392,0.478841,-0.695403,2022-06-06 15:20:13.686667,0.8632569999999973,155
57,34.716667,0.040081,0.671950,-0.022779,-0.739161,0.336316,0.481008,-0.694690,2022-06-06 15:20:13.786667,0.9632569999999987,156
64,34.833333,0.040128,0.672229,-0.024183,-0.738860,0.335664,0.485915,-0.694023,2022-06-06 15:20:13.903333,1.0799230000000009,157
70,34.933333,0.040346,0.670049,-0.023239,-0.740856,0.334208,0.491902,-0.693383,2022-06-06 15:20:14.003333,1.1799229999999952,158
77,35.050000,0.042560,0.670644,-0.022527,-0.740214,0.331872,0.499516,-0.692234,2022-06-06 15:20:14.120000,1.2965899999999948,159
83,35.150000,0.041619,0.670657,-0.019999,-0.740329,0.330748,0.505280,-0.692518,2022-06-06 15:20:14.220000,1.3965899999999962,160
90,35.266667,0.042012,0.672286,-0.020154,-0.738823,0.331277,0.512818,-0.694506,2022-06-06 15:20:14.336667,1.5132569999999959,161
96,35.366667,0.042055,0.672451,-0.019904,-0.738678,0.332103,0.524000,-0.695654,2022-06-06 15:20:14.436667,1.6132569999999973,162
103,35.483333,0.039023,0.670408,-0.016426,-0.740784,0.334561,0.548121,-0.695876,2022-06-06 15:20:14.553333,1.7299229999999994,163
