,Frame,Time_Seconds,az_camera1_Rotation_X,az_camera1_Rotation_Y,az_camera1_Rotation_Z,az_camera1_Rotation_W,az_camera1_Position_X,az_camera1_Position_Y,az_camera1_Position_Z
0,0,0.000000,0.067478,0.129875,0.008728,0.989193,1.051120,0.955312,-1.177243
1,1,0.016667,0.066176,0.129944,0.009488,0.989265,1.051167,0.955367,-1.177261
2,2,0.033333,0.067632,0.129786,0.008822,0.989194,1.051180,0.955266,-1.177245
3,3,0.050000,0.067772,0.129815,0.008906,0.989179,1.051147,0.955298,-1.177249
4,4,0.066667,0.067387,0.129738,0.008775,0.989217,1.051120,0.955297,-1.177272
5,5,0.083333,0.067353,0.129809,0.008888,0.989209,1.051142,0.955282,-1.177266
6,6,0.100000,0.067541,0.129764,0.008935,0.989202,1.051132,0.955287,-1.177281
7,7,0.116667,0.067701,0.129737,0.008812,0.989195,1.051105,0.955307,-1.177263
8,8,0.133333,0.067568,0.129781,0.008900,0.989198,1.051136,0.955262,-1.177261
9,9,0.150000,0.067632,0.129774,0.008848,0.989195,1.051150,0.955229,-1.177288
10,10,0.166667,0.067268,0.129738,0.008978,0.989223,1.051084,0.955263,-1.177314
11,11,0.183333,0.067409,0.129641,0.009035,0.989226,1.051072,0.955252,-1.177305
12,12,0.200000,0.067585,0.129729,0.009074,0.989202,1.051125,0.955246,-1.177279
13,13,0.216667,0.067626,0.129662,0.008840,0.989210,1.051122,0.955239,-1.177292
14,14,0.233333,0.067457,0.129722,0.008806,0.989214,1.051083,0.955249,-1.177280
15,15,0.250000,0.067444,0.129681,0.008960,0.989219,1.051087,0.955227,-1.177282
16,16,0.266667,0.067505,0.129721,0.008825,0.989211,1.051112,0.955221,-1.177290
17,17,0.283333,0.067641,0.129694,0.009006,0.989203,1.051082,0.955254,-1.177264
18,18,0.300000,0.067599,0.129637,0.008965,0.989214,1.051093,0.955241,-1.177263
19,19,0.316667,0.067642,0.129708,0.008815,0.989203,1.051127,0.955216,-1.177260
20,20,0.333333,0.067721,0.129742,0.008894,0.989193,1.051085,0.955238,-1.177257
21,21,0.350000,0.067307,0.129645,0.008895,0.989233,1.051083,0.955253,-1.177267
22,22,0.366667,0.067691,0.129830,0.008779,0.989184,1.051144,0.955245,-1.177213
23,23,0.383333,0.067914,0.129843,0.008861,0.989166,1.051145,0.955244,-1.177215
24,24,0.400000,0.067518,0.129715,0.008874,0.989210,1.051109,0.955258,-1.177241
25,25,0.416667,0.067501,0.129777,0.008822,0.989204,1.051115,0.955265,-1.177238
26,26,0.433333,0.067595,0.129882,0.009015,0.989182,1.051138,0.955276,-1.177254
27,27,0.450000,0.066507,0.129930,0.009501,0.989245,1.051162,0.955370,-1.177236
28,28,0.466667,0.066474,0.129910,0.009397,0.989250,1.051162,0.955368,-1.177223
29,29,0.483333,0.067656,0.129858,0.008926,0.989181,1.051155,0.955261,-1.177230
30,30,0.500000,0.067886,0.129850,0.008854,0.989167,1.051129,0.955284,-1.177235
31,31,0.516667,0.067511,0.129851,0.008842,0.989193,1.051101,0.955313,-1.177244
32,32,0.533333,0.067455,0.129897,0.008967,0.989190,1.051146,0.955282,-1.177232
33,33,0.550000,0.067884,0.129888,0.008849,0.989163,1.051168,0.955264,-1.177212
34,34,0.566667,0.067505,0.129728,0.008789,0.989210,1.051124,0.955281,-1.177257
35,35,0.583333,0.067384,0.129746,0.008714,0.989217,1.051122,0.955292,-1.177252
36,36,0.600000,0.066278,0.130014,0.009501,0.989249,1.051188,0.955360,-1.177261
37,37,0.616667,0.066384,0.129917,0.009448,0.989255,1.051174,0.955367,-1.177275
38,38,0.633333,0.066458,0.129929,0.009342,0.989250,1.051149,0.955370,-1.177265
39,39,0.650000,0.067508,0.129696,0.008943,0.989213,1.051128,0.955262,-1.177261
40,40,0.666667,0.067565,0.129806,0.008705,0.989196,1.051155,0.955259,-1.177279
41,41,0.683333,0.067629,0.129776,0.008755,0.989196,1.051097,0.955297,-1.177268
42,42,0.700000,0.067269,0.129731,0.008828,0.989225,1.051121,0.955276,-1.177254
43,43,0.716667,0.067593,0.129746,0.008946,0.989200,1.051149,0.955232,-1.177250
44,44,0.733333,0.067661,0.129627,0.008775,0.989213,1.051124,0.955224,-1.177286
45,45,0.750000,0.067201,0.128995,0.006381,0.989345,1.051179,0.955116,-1.177245
46,46,0.766667,0.066989,0.128897,0.004571,0.989382,1.051244,0.954982,-1.177161
47,47,0.783333,0.067527,0.129811,0.008895,0.989197,1.051146,0.955214,-1.177238
48,48,0.800000,0.067478,0.129781,0.008708,0.989206,1.051121,0.955227,-1.177242
49,49,0.816667,0.067023,0.128912,0.004555,0.989378,1.051238,0.954974,-1.177153
50,50,0.833333,0.067545,0.129769,0.008833,0.989202,1.051147,0.955221,-1.177240
51,51,0.850000,0.067334,0.128999,0.004458,0.989346,1.051226,0.955005,-1.177145
52,52,0.866667,0.067351,0.129187,0.006237,0.989311,1.051211,0.955129,-1.177172
53,53,0.883333,0.067584,0.129722,0.008872,0.989205,1.051144,0.955223,-1.177227
54,54,0.900000,0.067627,0.129789,0.008992,0.989192,1.051139,0.955219,-1.177247
55,55,0.916667,0.067534,0.129858,0.008601,0.989193,1.051127,0.955263,-1.177230
